scenario,backend,trial,role,thread_id,capacity,num_consumers,ratio,ok_ops,fail_ops,window_ns,throughput_ops_s,fail_rate_pct,lat_p50_ns,lat_p99_ns,lat_max_ns,fail_lat_p50_ns,fail_lat_p99_ns,payload_bytes
cmp_wrap_around_sustained,sync,0,consumer,0,1024,2,balanced,2009977,40,1005009083,1999959.0391761663,0.001990032920119581,499.91796875,500.1640625,6166,458,708,8
cmp_wrap_around_sustained,sync,0,consumer,1,1024,2,balanced,2009977,37,1005007625,1999961.9405872666,0.0018407831985249854,499.91796875,500.326171875,1583,250,417,8
cmp_wrap_around_sustained,sync,1,producer,0,1024,2,balanced,1997445,853042,1005014041,1987479.695320993,29.926184543202616,513.6666666666666,750,33625,125,333,8
cmp_wrap_around_sustained,sync,1,consumer,0,1024,2,balanced,1996453,13560,1005007083,1986506.3975872498,0.6746225024415264,499.91796875,511.474609375,3361396,500,666,8
cmp_wrap_around_sustained,sync,1,consumer,1,1024,2,balanced,1996453,13577,1005015584,1986489.5945732917,0.6754625552852445,499.91796875,502.4291666666667,3365146,500,708,8
cmp_wrap_around_sustained,sync,2,producer,0,1024,2,balanced,2005863,542036,1005027084,1995829.795965976,21.273841702516467,510.5,833,51625,125,333,8
cmp_wrap_around_sustained,sync,2,consumer,0,1024,2,balanced,2004887,5173,1005030541,1994851.8161499333,0.2573555018258161,499.91796875,9917,92333,417,2125,8
cmp_wrap_around_sustained,sync,2,consumer,1,1024,2,balanced,2004887,5176,1005032083,1994848.755489928,0.2575043667785537,499.91796875,10459,92042,458,2083,8
cmp_wrap_around_sustained,sync,3,producer,0,1024,2,balanced,2011038,1116091,1005018458,2000996.085188318,35.690596710273226,513.8333333333334,708,16250,208,292,8
cmp_wrap_around_sustained,sync,3,consumer,0,1024,2,balanced,2010029,0,1005015084,1999998.8378283882,0,499.91796875,500.244140625,588.37890625,,,8
cmp_wrap_around_sustained,sync,3,consumer,1,1024,2,balanced,2010021,0,1005011084,1999998.8378237628,0,499.91796875,500.32421875,526.69140625,,,8
cmp_wrap_around_sustained,sync,4,producer,0,1024,2,balanced,2011038,1396068,1005015125,2001002.721227703,40.9751853919426,521,667,20083,125,333,8
cmp_wrap_around_sustained,sync,4,consumer,0,1024,2,balanced,2010025,0,1005013083,1999998.839816098,0,499.91796875,500.32421875,557.6171875,,,8
cmp_wrap_around_sustained,sync,4,consumer,1,1024,2,balanced,2010023,0,1005012042,1999998.9214059587,0,499.91796875,500.1640625,544.025390625,,,8
cmp_blocking_push_unblocks,spmc,0,producer,0,8,2,max,14227626,3797611,1005010292,14156696.815200375,21.068299961881223,83.25,209,76546.875,42,125,8
cmp_blocking_push_unblocks,spmc,0,consumer,0,8,2,max,14227628,10555789,1005007875,14156732.851471437,42.592145384956396,104.5,250,560834,83,125,8
cmp_blocking_push_unblocks,spmc,0,consumer,1,8,2,max,14227628,10528418,1005007125,14156743.416122548,42.52867360159211,104,250,325167,83,125,8
cmp_blocking_push_unblocks,spmc,1,producer,0,8,2,max,14059567,3764318,1002746458,14021058.751024777,21.119514628825307,83.25,209,104093.75,42,125,8
cmp_blocking_push_unblocks,spmc,1,consumer,0,8,2,max,14059567,10414732,1002749583,14021015.055361034,42.553749956229595,111,250,832500,83,125,8
cmp_blocking_push_unblocks,spmc,1,consumer,1,8,2,max,14059567,10532835,1002742375,14021115.842441585,42.82963087542242,104.5,250,363292,83,125,8
cmp_blocking_push_unblocks,spmc,2,producer,0,8,2,max,14189415,3839955,1001410292,14169431.963457393,21.298331555678317,83.25,209,157875,42,125,8
cmp_blocking_push_unblocks,spmc,2,consumer,0,8,2,max,14189415,10555851,1001402875,14169536.910906112,42.65806235422969,104.5,250,320666,83,125,8
cmp_blocking_push_unblocks,spmc,2,consumer,1,8,2,max,14189415,10539119,1001407708,14169468.525800483,42.61926323655094,104.5,250,342417,83,125,8
cmp_blocking_push_unblocks,spmc,3,producer,0,8,2,max,14090201,3704038,1001039167,14075574.127860274,20.815939361048258,83.25,209,106099,42,125,8
cmp_blocking_push_unblocks,spmc,3,consumer,0,8,2,max,14090205,10509421,1001040584,14075558.199346691,42.72187308863964,104,250,343875,83,125,8
cmp_blocking_push_unblocks,spmc,3,consumer,1,8,2,max,14090205,10496159,1001033583,14075656.640582457,42.69097699846956,104,250,431875,83,125,8
cmp_blocking_push_unblocks,spmc,4,producer,0,8,2,max,14259743,3830131,1004990750,14188929.599600792,21.172789816004247,83.2,209,453542,42,125,8
cmp_blocking_push_unblocks,spmc,4,consumer,0,8,2,max,14259742,10553474,1004997875,14188828.011203507,42.53166538347951,104,250,363416,83,125,8
cmp_blocking_push_unblocks,spmc,4,consumer,1,8,2,max,14259743,10542414,1004991917,14188913.123367937,42.50603687413155,104,250,637000,83,125,8
cmp_blocking_push_unblocks,sync,0,producer,0,8,2,max,86746,15353,1004988625,86315.40481366144,15.037365694081235,11080.882352941177,15320.42857142857,18541,292,2459,8
cmp_blocking_push_unblocks,sync,0,consumer,0,8,2,max,86746,3450593,1004994750,86314.8787593169,97.54770464464954,7667,54958,450875,291,1042,8
cmp_blocking_push_unblocks,sync,0,consumer,1,8,2,max,86746,3892369,1004988292,86315.43341402429,97.81996750533725,7833,55042,481917,250,1041,8
cmp_blocking_push_unblocks,sync,1,producer,0,8,2,max,86462,17714,1003105459,86194.32705130956,17.003916449086162,11267.171875,14629.555555555555,23309.5,292,2334,8
cmp_blocking_push_unblocks,sync,1,consumer,0,8,2,max,86462,3429570,1003095875,86195.15058817284,97.54092112927299,7625,54583,494542,291,1042,8
